o_lat,o_lon,d_lat,d_lon,dest_name,cat,distance_m,duration_s,static_duration_s,status_code,condition,duration_min,static_duration_min,origin_name
19.287,-99.655,19.3151048,-99.6576047,Centro de educación para la atención de jovenes y adultos Isidro Fabela,school,5899,951.0,951.0,0,ROUTE_EXISTS,15.85,15.85,O1_Conjunto
19.287,-99.655,19.312408,-99.6466468,Centro De Atencion Multiple 44 Toluca,school,4408,748.0,748.0,0,ROUTE_EXISTS,12.466666666666667,12.466666666666667,O1_Conjunto
19.287,-99.655,19.2841208,-99.6274488,Instituto Nacional Tae Kwon Do,school,3681,676.0,676.0,0,ROUTE_EXISTS,11.266666666666667,11.266666666666667,O1_Conjunto
19.287,-99.655,19.2800088,-99.6303146,Fut 7 Millan,school,3783,650.0,650.0,0,ROUTE_EXISTS,10.833333333333334,10.833333333333334,O1_Conjunto
19.287,-99.655,19.2646332,-99.6596695,First College Primaria,school,4277,839.0,839.0,0,ROUTE_EXISTS,13.983333333333333,13.983333333333333,O1_Conjunto
19.287,-99.655,19.2734818,-99.6335908,Numero 13 Heroes De Chapultepec Turno Vespertino,school,3129,617.0,617.0,0,ROUTE_EXISTS,10.283333333333333,10.283333333333333,O1_Conjunto
19.287,-99.655,19.2865879,-99.6828121,Owijarim Taekwondo Mexico,school,4527,831.0,831.0,0,ROUTE_EXISTS,13.85,13.85,O1_Conjunto
19.287,-99.655,19.2682474,-99.679627,school (OSM),school,5630,945.0,945.0,0,ROUTE_EXISTS,15.75,15.75,O1_Conjunto
19.287,-99.655,19.2731112,-99.633662,Secundaria Oficial Numero 03 Heroes De Chapultepec,school,3100,634.0,634.0,0,ROUTE_EXISTS,10.566666666666666,10.566666666666666,O1_Conjunto
19.287,-99.655,19.2949455,-99.632878,Unidad De Servicio De Apoyo A Escuela Regular N 23,school,3172,586.0,586.0,0,ROUTE_EXISTS,9.766666666666667,9.766666666666667,O1_Conjunto
